CNAE grupo,Descricao,CNPJs
222,Fabricação de produtos de material plástico,1255
259,Fabricação de produtos de metal não especificados anteriormente,690
282,Fabricação de máquinas e equipamentos de uso geral,622
201,Fabricação de produtos químicos inorgânicos,453
209,Fabricação de produtos e preparados químicos diversos,377
253,"Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais",332
251,Fabricação de estruturas metálicas e obras de caldeiraria pesada,310
221,Fabricação de produtos de borracha,235
273,Fabricação de equipamentos para distribuição e controle de energia elétrica,221
254,"Fabricação de artigos de cutelaria, de serralheria e ferramentas",202
239,Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos,199
174,"Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado",196
271,"Fabricação de geradores, transformadores e motores elétricos",187
281,"Fabricação de motores, bombas, compressores e equipamentos de transmissão",181
207,"Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins",158
265,"Fabricação de aparelhos e instrumentos de medida, teste e controle; cronômetros e relógios",138
261,Fabricação de componentes eletrônicos,126
245,Fundição,120
279,Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente,95
244,Metalurgia dos metais não-ferrosos,76
242,Siderurgia,69
192,Fabricação de produtos derivados do petróleo,44
263,Fabricação de equipamentos de comunicação,40
183,Reprodução de materiais gravados em qualquer suporte,16
