sg_uf,nm_municipio,CNPJs,Patentes,GT,Componente
SC,Joinville,104,418,GT 2 – Máquinas Elétricas,3.2 Canais de Refrigeração
SC,Joinville,96,269,GT 3 – Inversores / Conversores de Potência,5.5 Isoladores Galvânicos
SC,Joinville,96,269,GT 1 – Baterias,2.1 Separadores
SC,Joinville,96,269,GT 2 – Máquinas Elétricas,9.3 Tampas e Tampões
SC,Joinville,96,269,GT 1 – Baterias,6.4 Sensores de Gás / Detectores
SC,Joinville,96,269,GT 1 – Baterias,7.3 Terminais e Lugs
SC,Joinville,96,269,GT 3 – Inversores / Conversores de Potência,8.5 Fitas e Isolantes
SC,Joinville,96,269,GT 1 – Baterias,5.5 Isolamentos Térmicos
SC,Joinville,96,269,GT 1 – Baterias,7.4 Barreiras e Isoladores
RS,Caxias Do Sul,93,400,GT 2 – Máquinas Elétricas,3.2 Canais de Refrigeração
RS,Caxias Do Sul,89,376,GT 1 – Baterias,7.3 Terminais e Lugs
RS,Caxias Do Sul,89,376,GT 1 – Baterias,5.5 Isolamentos Térmicos
RS,Caxias Do Sul,89,376,GT 3 – Inversores / Conversores de Potência,5.5 Isoladores Galvânicos
RS,Caxias Do Sul,89,376,GT 1 – Baterias,6.4 Sensores de Gás / Detectores
RS,Caxias Do Sul,89,376,GT 3 – Inversores / Conversores de Potência,8.5 Fitas e Isolantes
RS,Caxias Do Sul,89,376,GT 1 – Baterias,2.1 Separadores
RS,Caxias Do Sul,89,376,GT 1 – Baterias,7.4 Barreiras e Isoladores
RS,Caxias Do Sul,89,376,GT 2 – Máquinas Elétricas,9.3 Tampas e Tampões
RS,Caxias Do Sul,68,50,GT 2 – Máquinas Elétricas,5.5 Parafusos e Fixadores
RS,Caxias Do Sul,68,50,GT 1 – Baterias,3.2 Barramentos / Busbars
RS,Caxias Do Sul,68,50,GT 3 – Inversores / Conversores de Potência,8.6 Parafusos / Fixadores
RS,Caxias Do Sul,60,166,GT 2 – Máquinas Elétricas,3.3 Ventiladores / Hélices
RS,Caxias Do Sul,60,166,GT 2 – Máquinas Elétricas,6.3 Inserção de Ímãs
RS,Caxias Do Sul,60,166,GT 2 – Máquinas Elétricas,6.2 Enrolamento de Bobinas
RS,Caxias Do Sul,60,166,GT 3 – Inversores / Conversores de Potência,4.5 Ventoinhas
PR,Curitiba,57,40,GT 2 – Máquinas Elétricas,3.2 Canais de Refrigeração
PR,Curitiba,55,40,GT 1 – Baterias,5.5 Isolamentos Térmicos
PR,Curitiba,55,40,GT 3 – Inversores / Conversores de Potência,8.5 Fitas e Isolantes
PR,Curitiba,55,40,GT 1 – Baterias,7.3 Terminais e Lugs
PR,Curitiba,55,40,GT 1 – Baterias,6.4 Sensores de Gás / Detectores
PR,Curitiba,55,40,GT 3 – Inversores / Conversores de Potência,5.5 Isoladores Galvânicos
PR,Curitiba,55,40,GT 2 – Máquinas Elétricas,9.3 Tampas e Tampões
PR,Curitiba,55,40,GT 1 – Baterias,7.4 Barreiras e Isoladores
PR,Curitiba,55,40,GT 1 – Baterias,2.1 Separadores
RS,Caxias Do Sul,46,9,GT 1 – Baterias,2.4 Carcaça da Célula (Latas / Caixas)
PR,Curitiba,39,82,GT 3 – Inversores / Conversores de Potência,4.5 Ventoinhas
PR,Curitiba,39,82,GT 2 – Máquinas Elétricas,6.3 Inserção de Ímãs
PR,Curitiba,39,82,GT 2 – Máquinas Elétricas,6.2 Enrolamento de Bobinas
PR,Curitiba,39,82,GT 2 – Máquinas Elétricas,3.3 Ventiladores / Hélices
PR,Curitiba,38,30,GT 1 – Baterias,1.6 Materiais p/ Precursores
PR,Curitiba,38,30,GT 1 – Baterias,1.2 Ânodos (Grafite)
PR,Curitiba,38,30,GT 2 – Máquinas Elétricas,8.6 Gases Técnicos
PR,Curitiba,38,30,GT 3 – Inversores / Conversores de Potência,8.3 Gases Técnicos
SC,Joinville,36,42,GT 2 – Máquinas Elétricas,6.2 Enrolamento de Bobinas
PR,Curitiba,36,2,GT 1 – Baterias,2.4 Carcaça da Célula (Latas / Caixas)
RS,Novo Hamburgo,36,85,GT 2 – Máquinas Elétricas,9.3 Tampas e Tampões
RS,Novo Hamburgo,36,85,GT 1 – Baterias,2.1 Separadores
SC,Joinville,36,42,GT 2 – Máquinas Elétricas,3.3 Ventiladores / Hélices
RS,Novo Hamburgo,36,85,GT 3 – Inversores / Conversores de Potência,5.5 Isoladores Galvânicos
RS,Novo Hamburgo,36,85,GT 3 – Inversores / Conversores de Potência,8.5 Fitas e Isolantes
RS,Novo Hamburgo,36,85,GT 1 – Baterias,7.4 Barreiras e Isoladores
SC,Joinville,36,42,GT 2 – Máquinas Elétricas,6.3 Inserção de Ímãs
SC,Joinville,36,42,GT 3 – Inversores / Conversores de Potência,4.5 Ventoinhas
RS,Novo Hamburgo,36,85,GT 1 – Baterias,6.4 Sensores de Gás / Detectores
RS,Novo Hamburgo,36,85,GT 1 – Baterias,7.3 Terminais e Lugs
RS,Novo Hamburgo,36,85,GT 2 – Máquinas Elétricas,3.2 Canais de Refrigeração
RS,Novo Hamburgo,36,85,GT 1 – Baterias,5.5 Isolamentos Térmicos
SC,Joinville,35,278,GT 1 – Baterias,2.4 Carcaça da Célula (Latas / Caixas)
PR,Paranaguá,34,9,GT 1 – Baterias,1.2 Ânodos (Grafite)
PR,Paranaguá,34,9,GT 2 – Máquinas Elétricas,8.6 Gases Técnicos
PR,Paranaguá,34,9,GT 3 – Inversores / Conversores de Potência,8.3 Gases Técnicos
PR,Paranaguá,34,9,GT 1 – Baterias,1.6 Materiais p/ Precursores
PR,São José Dos Pinhais,33,71,GT 3 – Inversores / Conversores de Potência,5.5 Isoladores Galvânicos
SC,Araquari,33,37,GT 2 – Máquinas Elétricas,3.2 Canais de Refrigeração
PR,São José Dos Pinhais,33,71,GT 2 – Máquinas Elétricas,9.3 Tampas e Tampões
PR,São José Dos Pinhais,33,71,GT 1 – Baterias,5.5 Isolamentos Térmicos
PR,São José Dos Pinhais,33,71,GT 1 – Baterias,6.4 Sensores de Gás / Detectores
PR,São José Dos Pinhais,33,71,GT 2 – Máquinas Elétricas,3.2 Canais de Refrigeração
PR,São José Dos Pinhais,33,71,GT 1 – Baterias,7.3 Terminais e Lugs
PR,São José Dos Pinhais,33,71,GT 3 – Inversores / Conversores de Potência,8.5 Fitas e Isolantes
PR,São José Dos Pinhais,33,71,GT 1 – Baterias,2.1 Separadores
PR,São José Dos Pinhais,33,71,GT 1 – Baterias,7.4 Barreiras e Isoladores
PR,Curitiba,31,96,GT 2 – Máquinas Elétricas,5.5 Parafusos e Fixadores
PR,Curitiba,31,96,GT 1 – Baterias,3.2 Barramentos / Busbars
PR,Curitiba,31,96,GT 3 – Inversores / Conversores de Potência,8.6 Parafusos / Fixadores
SC,Itajaí,30,14,GT 1 – Baterias,7.4 Barreiras e Isoladores
SC,Itajaí,30,14,GT 1 – Baterias,7.3 Terminais e Lugs
SC,Itajaí,30,14,GT 1 – Baterias,6.4 Sensores de Gás / Detectores
