gt,subsistema,componente,cnpjs_unicos,destaques_faturamento,destaques_patentes,component_id
GT 1 – Baterias,2. Célula e Componentes da Célula,2.1 Separadores,1255,MARCOPOLO (1B OU SUPERIOR) | AMCOR FLEXIBLES BRASIL EMBALAGENS (1B OU SUPERIOR),MARCOPOLO | AMCOR FLEXIBLES BRASIL EMBALAGENS,gt-1-baterias-2-celula-e-componentes-da-celula-2-1-separadores
GT 1 – Baterias,5. Sistema Térmico,5.5 Isolamentos Térmicos,1255,MARCOPOLO (1B OU SUPERIOR) | AMCOR FLEXIBLES BRASIL EMBALAGENS (1B OU SUPERIOR),MARCOPOLO | AMCOR FLEXIBLES BRASIL EMBALAGENS,gt-1-baterias-5-sistema-termico-5-5-isolamentos-termicos
GT 1 – Baterias,6. Segurança e Proteção,6.4 Sensores de Gás / Detectores,1255,MARCOPOLO (1B OU SUPERIOR) | AMCOR FLEXIBLES BRASIL EMBALAGENS (1B OU SUPERIOR),MARCOPOLO | AMCOR FLEXIBLES BRASIL EMBALAGENS,gt-1-baterias-6-seguranca-e-protecao-6-4-sensores-de-gas-detectores
GT 1 – Baterias,7. Interconexões e Alta Tensão,7.3 Terminais e Lugs,1255,MARCOPOLO (1B OU SUPERIOR) | AMCOR FLEXIBLES BRASIL EMBALAGENS (1B OU SUPERIOR),MARCOPOLO | AMCOR FLEXIBLES BRASIL EMBALAGENS,gt-1-baterias-7-interconexoes-e-alta-tensao-7-3-terminais-e-lugs
GT 1 – Baterias,7. Interconexões e Alta Tensão,7.4 Barreiras e Isoladores,1255,MARCOPOLO (1B OU SUPERIOR) | AMCOR FLEXIBLES BRASIL EMBALAGENS (1B OU SUPERIOR),MARCOPOLO | AMCOR FLEXIBLES BRASIL EMBALAGENS,gt-1-baterias-7-interconexoes-e-alta-tensao-7-4-barreiras-e-isoladores
GT 1 – Baterias,3. Módulos e Estruturas,3.2 Barramentos / Busbars,690,DOCOL (1B OU SUPERIOR) | COMPANHIA SIDERURGICA NACIONAL (1B OU SUPERIOR),BRASILATA S A EMBALAGENS METALICAS | NILKO TECNOLOGIA,gt-1-baterias-3-modulos-e-estruturas-3-2-barramentos-busbars
GT 1 – Baterias,3. Módulos e Estruturas,3.5 Encapsulantes / Adesivos / Selantes,535,IBQ - INDUSTRIAS QUIMICAS S/A (1B OU SUPERIOR) | IBQ - INDUSTRIAS QUIMICAS S/A (1B OU SUPERIOR),BUNGE ALIMENTOS S/A | ARTECOLA QUIMICA S. A,gt-1-baterias-3-modulos-e-estruturas-3-5-encapsulantes-adesivos-selantes
GT 1 – Baterias,2. Célula e Componentes da Célula,2.4 Carcaça da Célula (Latas / Caixas),513,DOCOL (1B OU SUPERIOR) | SCHULZ S/A (1B OU SUPERIOR),NIDEC GLOBAL APPLIANCE BRASIL | NILKO TECNOLOGIA,gt-1-baterias-2-celula-e-componentes-da-celula-2-4-carcaca-da-celula-lat
GT 1 – Baterias,1. Materiais Ativos e Químicos,1.2 Ânodos (Grafite),453,PETROLEO BRASILEIRO S A PETROBRAS (1B OU SUPERIOR) | ICL AMERICA SUL (1B OU SUPERIOR),PETROLEO BRASILEIRO S A PETROBRAS | ICL AMERICA SUL,gt-1-baterias-1-materiais-ativos-e-quimicos-1-2-anodos-grafite
GT 1 – Baterias,1. Materiais Ativos e Químicos,1.6 Materiais p/ Precursores,453,PETROLEO BRASILEIRO S A PETROBRAS (1B OU SUPERIOR) | ICL AMERICA SUL (1B OU SUPERIOR),PETROLEO BRASILEIRO S A PETROBRAS | ICL AMERICA SUL,gt-1-baterias-1-materiais-ativos-e-quimicos-1-6-materiais-p-precursores
GT 1 – Baterias,1. Materiais Ativos e Químicos,1.3 Eletrólito,377,IBQ - INDUSTRIAS QUIMICAS S/A (1B OU SUPERIOR) | IBQ - INDUSTRIAS QUIMICAS S/A (1B OU SUPERIOR),BUNGE ALIMENTOS S/A | ARTECOLA QUIMICA S. A,gt-1-baterias-1-materiais-ativos-e-quimicos-1-3-eletrolito
GT 1 – Baterias,3. Módulos e Estruturas,3.4 Fixações e Suportes,377,IBQ - INDUSTRIAS QUIMICAS S/A (1B OU SUPERIOR) | IBQ - INDUSTRIAS QUIMICAS S/A (1B OU SUPERIOR),BUNGE ALIMENTOS S/A | ARTECOLA QUIMICA S. A,gt-1-baterias-3-modulos-e-estruturas-3-4-fixacoes-e-suportes
GT 1 – Baterias,5. Sistema Térmico,5.3 Trocadores de Calor,377,IBQ - INDUSTRIAS QUIMICAS S/A (1B OU SUPERIOR) | IBQ - INDUSTRIAS QUIMICAS S/A (1B OU SUPERIOR),BUNGE ALIMENTOS S/A | ARTECOLA QUIMICA S. A,gt-1-baterias-5-sistema-termico-5-3-trocadores-de-calor
GT 1 – Baterias,2. Célula e Componentes da Célula,2.3 Coletor de Corrente – Cátodo (Alumínio),310,GE ENERGIAS RENOVAVEIS (1B OU SUPERIOR) | CERACA - COOPERATIVA INFRA-ESTRUT... (1B OU SUPERIOR),AGUIA SISTEMAS ARMAZENAGEM | AGUIA SISTEMAS ARMAZENAGEM,gt-1-baterias-2-celula-e-componentes-da-celula-2-3-coletor-de-corrente-c
GT 1 – Baterias,3. Módulos e Estruturas,3.1 Estrutura do Módulo,310,GE ENERGIAS RENOVAVEIS (1B OU SUPERIOR) | CERACA - COOPERATIVA INFRA-ESTRUT... (1B OU SUPERIOR),AGUIA SISTEMAS ARMAZENAGEM | AGUIA SISTEMAS ARMAZENAGEM,gt-1-baterias-3-modulos-e-estruturas-3-1-estrutura-do-modulo
